exp,k,lambda,steps,stiter,seed,h_inicial,h_final,temps_ms
3,10,0,001000,150000,10,523,2679,2632,405
3,10,0,001000,150000,10,87,2667,2623,313
3,10,0,001000,150000,10,999,2739,2611,274
3,10,0,001000,150000,10,341,2585,2434,269
3,10,0,001000,150000,10,712,2935,2832,300
3,10,0,001000,150000,10,65,2753,2603,287
3,10,0,001000,150000,10,488,2957,2863,317
3,10,0,001000,150000,10,230,2330,2190,296
3,10,0,001000,150000,10,901,3045,2867,274
3,10,0,001000,150000,10,144,2694,2609,271
3,10,0,001000,150000,10,378,2935,2875,275
3,10,0,001000,150000,10,654,2616,2512,285
3,10,0,001000,150000,10,29,2631,2491,294
3,10,0,001000,150000,10,810,2555,2517,268
3,10,0,001000,150000,10,472,2567,2497,268
3,10,0,001000,150000,10,193,2764,2601,263
3,10,0,001000,150000,10,556,2792,2699,265
3,10,0,001000,150000,10,721,2665,2610,289
3,10,0,001000,150000,10,88,2872,2754,286
3,10,0,001000,150000,10,402,2583,2497,270
3,10,0,001000,150000,10,615,2561,2487,265
3,10,0,001000,150000,10,777,2807,2730,275
3,10,0,001000,150000,10,5,2576,2524,271
3,10,0,001000,150000,10,268,2668,2584,268
3,10,0,001000,150000,10,349,2862,2818,274
3,10,0,001000,150000,10,920,2529,2442,273
3,10,0,001000,150000,10,431,2620,2600,272
3,10,0,001000,150000,10,602,2872,2748,283
3,10,0,001000,150000,10,118,2500,2378,267
3,10,0,001000,150000,10,745,2845,2744,269
3,10,0,001000,150000,10,864,2478,2406,267
3,10,0,001000,150000,10,52,2617,2588,266
3,10,0,001000,150000,10,390,2793,2747,280
3,10,0,001000,150000,10,281,2386,2292,260
3,10,0,001000,150000,10,973,2440,2343,262
3,10,0,001000,150000,10,167,2877,2757,275
3,10,0,001000,150000,10,459,2592,2474,278
3,10,0,001000,150000,10,630,2720,2666,274
3,10,0,001000,150000,10,204,2742,2651,269
3,10,0,001000,150000,10,851,2538,2428,272
3,10,0,001000,150000,10,76,2800,2718,268
3,10,0,001000,150000,10,538,2579,2552,272
3,10,0,001000,150000,10,692,2971,2874,276
3,10,0,001000,150000,10,314,2559,2533,271
3,10,0,001000,150000,10,947,2492,2422,268
3,10,0,001000,150000,10,183,2454,2388,267
3,10,0,001000,150000,10,420,2756,2682,269
3,10,0,001000,150000,10,559,2756,2659,271
3,10,0,001000,150000,10,601,2861,2730,257
3,10,0,001000,150000,10,732,2598,2517,265
3,10,0,001000,150000,10,11,2769,2656,268
3,10,0,001000,150000,10,298,2516,2436,272
3,10,0,001000,150000,10,467,3045,2972,270
3,10,0,001000,150000,10,825,2572,2468,263
3,10,0,001000,150000,10,940,2615,2571,273
3,10,0,001000,150000,10,156,2579,2531,271
3,10,0,001000,150000,10,377,2643,2539,270
3,10,0,001000,150000,10,688,2681,2605,269
3,10,0,001000,150000,10,249,2600,2477,267
3,10,0,001000,150000,10,563,2698,2652,272
3,10,0,001000,150000,10,704,3027,3023,271
3,10,0,001000,150000,10,92,2619,2589,266
3,10,0,001000,150000,10,815,2658,2629,272
3,10,0,001000,150000,10,333,2451,2351,279
3,10,0,001000,150000,10,478,2591,2531,265
3,10,0,001000,150000,10,690,2581,2519,275
3,10,0,001000,150000,10,27,2608,2483,272
3,10,0,001000,150000,10,954,2710,2612,278
3,10,0,001000,150000,10,382,2433,2390,268
3,10,0,001000,150000,10,611,2288,2180,260
3,10,0,001000,150000,10,743,2752,2686,292
3,10,0,001000,150000,10,159,2592,2528,298
3,10,0,001000,150000,10,888,2354,2324,289
3,10,0,001000,150000,10,266,3063,2896,380
3,10,0,001000,150000,10,531,2550,2413,359
3,10,0,001000,150000,10,679,2856,2772,345
3,10,0,001000,150000,10,803,2502,2493,347
3,10,0,001000,150000,10,47,2851,2794,376
3,10,0,001000,150000,10,995,2693,2668,403
3,10,0,001000,150000,10,214,2828,2786,403
3,10,0,001000,150000,10,362,3024,2902,382
3,10,0,001000,150000,10,580,3069,3004,395
3,10,0,001000,150000,10,721,2665,2574,294
3,10,0,001000,150000,10,134,2698,2623,289
3,10,0,001000,150000,10,846,2674,2622,414
3,10,0,001000,150000,10,271,2623,2484,381
3,10,0,001000,150000,10,498,2387,2347,383
3,10,0,001000,150000,10,617,2644,2570,286
3,10,0,001000,150000,10,39,2368,2289,310
3,10,0,001000,150000,10,902,2423,2337,339
3,10,0,001000,150000,10,455,3040,2946,296
3,10,0,001000,150000,10,768,2474,2435,410
3,10,0,001000,150000,10,120,2490,2369,341
3,10,0,001000,150000,10,593,2470,2372,285
3,10,0,001000,150000,10,834,2622,2556,309
3,10,0,001000,150000,10,206,2707,2566,315
3,10,0,001000,150000,10,319,2459,2366,267
3,10,0,001000,150000,10,650,2693,2596,269
3,10,0,001000,150000,10,77,2529,2426,295
3,10,0,001000,150000,10,982,2704,2629,323
3,10,0,001000,150000,100,523,2679,2596,266
3,10,0,001000,150000,100,87,2667,2667,268
3,10,0,001000,150000,100,999,2739,2564,267
3,10,0,001000,150000,100,341,2585,2463,267
3,10,0,001000,150000,100,712,2935,2828,272
3,10,0,001000,150000,100,65,2753,2598,263
3,10,0,001000,150000,100,488,2957,2852,412
3,10,0,001000,150000,100,230,2330,2243,385
3,10,0,001000,150000,100,901,3045,2868,364
3,10,0,001000,150000,100,144,2694,2567,377
3,10,0,001000,150000,100,378,2935,2800,329
3,10,0,001000,150000,100,654,2616,2557,320
3,10,0,001000,150000,100,29,2631,2529,360
3,10,0,001000,150000,100,810,2555,2490,335
3,10,0,001000,150000,100,472,2567,2501,384
3,10,0,001000,150000,100,193,2764,2618,386
3,10,0,001000,150000,100,556,2792,2687,349
3,10,0,001000,150000,100,721,2665,2578,355
3,10,0,001000,150000,100,88,2872,2718,264
3,10,0,001000,150000,100,402,2583,2456,346
3,10,0,001000,150000,100,615,2561,2483,302
3,10,0,001000,150000,100,777,2807,2742,271
3,10,0,001000,150000,100,5,2576,2492,325
3,10,0,001000,150000,100,268,2668,2587,282
3,10,0,001000,150000,100,349,2862,2854,288
3,10,0,001000,150000,100,920,2529,2438,258
3,10,0,001000,150000,100,431,2620,2584,272
3,10,0,001000,150000,100,602,2872,2771,337
3,10,0,001000,150000,100,118,2500,2404,357
3,10,0,001000,150000,100,745,2845,2778,408
3,10,0,001000,150000,100,864,2478,2386,368
3,10,0,001000,150000,100,52,2617,2597,353
3,10,0,001000,150000,100,390,2793,2715,283
3,10,0,001000,150000,100,281,2386,2296,266
3,10,0,001000,150000,100,973,2440,2341,261
3,10,0,001000,150000,100,167,2877,2805,271
3,10,0,001000,150000,100,459,2592,2470,274
3,10,0,001000,150000,100,630,2720,2666,344
3,10,0,001000,150000,100,204,2742,2609,266
3,10,0,001000,150000,100,851,2538,2455,276
3,10,0,001000,150000,100,76,2800,2689,268
3,10,0,001000,150000,100,538,2579,2512,297
3,10,0,001000,150000,100,692,2971,2835,335
3,10,0,001000,150000,100,314,2559,2548,363
3,10,0,001000,150000,100,947,2492,2401,296
3,10,0,001000,150000,100,183,2454,2376,264
3,10,0,001000,150000,100,420,2756,2686,272
3,10,0,001000,150000,100,559,2756,2630,316
3,10,0,001000,150000,100,601,2861,2783,314
3,10,0,001000,150000,100,732,2598,2531,392
3,10,0,001000,150000,100,11,2769,2660,295
3,10,0,001000,150000,100,298,2516,2401,360
3,10,0,001000,150000,100,467,3045,2962,289
3,10,0,001000,150000,100,825,2572,2499,264
3,10,0,001000,150000,100,940,2615,2589,311
3,10,0,001000,150000,100,156,2579,2541,335
3,10,0,001000,150000,100,377,2643,2577,315
3,10,0,001000,150000,100,688,2681,2637,391
3,10,0,001000,150000,100,249,2600,2433,330
3,10,0,001000,150000,100,563,2698,2681,344
3,10,0,001000,150000,100,704,3027,3004,301
3,10,0,001000,150000,100,92,2619,2601,300
3,10,0,001000,150000,100,815,2658,2618,274
3,10,0,001000,150000,100,333,2451,2359,280
3,10,0,001000,150000,100,478,2591,2546,269
3,10,0,001000,150000,100,690,2581,2581,266
3,10,0,001000,150000,100,27,2608,2490,263
3,10,0,001000,150000,100,954,2710,2607,265
3,10,0,001000,150000,100,382,2433,2388,263
3,10,0,001000,150000,100,611,2288,2180,259
3,10,0,001000,150000,100,743,2752,2691,274
3,10,0,001000,150000,100,159,2592,2508,265
3,10,0,001000,150000,100,888,2354,2318,272
3,10,0,001000,150000,100,266,3063,2870,272
3,10,0,001000,150000,100,531,2550,2390,297
3,10,0,001000,150000,100,679,2856,2784,268
3,10,0,001000,150000,100,803,2502,2479,265
3,10,0,001000,150000,100,47,2851,2834,290
3,10,0,001000,150000,100,995,2693,2658,344
3,10,0,001000,150000,100,214,2828,2754,276
3,10,0,001000,150000,100,362,3024,2912,271
3,10,0,001000,150000,100,580,3069,2955,277
3,10,0,001000,150000,100,721,2665,2593,293
3,10,0,001000,150000,100,134,2698,2621,394
3,10,0,001000,150000,100,846,2674,2615,415
3,10,0,001000,150000,100,271,2623,2525,380
3,10,0,001000,150000,100,498,2387,2387,402
3,10,0,001000,150000,100,617,2644,2583,381
3,10,0,001000,150000,100,39,2368,2319,269
3,10,0,001000,150000,100,902,2423,2353,274
3,10,0,001000,150000,100,455,3040,2983,272
3,10,0,001000,150000,100,768,2474,2474,284
3,10,0,001000,150000,100,120,2490,2374,308
3,10,0,001000,150000,100,593,2470,2403,288
3,10,0,001000,150000,100,834,2622,2614,303
3,10,0,001000,150000,100,206,2707,2575,276
3,10,0,001000,150000,100,319,2459,2415,275
3,10,0,001000,150000,100,650,2693,2620,277
3,10,0,001000,150000,100,77,2529,2429,299
3,10,0,001000,150000,100,982,2704,2584,325
3,10,0,001000,150000,500,523,2679,2635,289
3,10,0,001000,150000,500,87,2667,2655,309
3,10,0,001000,150000,500,999,2739,2600,363
3,10,0,001000,150000,500,341,2585,2457,282
3,10,0,001000,150000,500,712,2935,2812,272
3,10,0,001000,150000,500,65,2753,2638,285
3,10,0,001000,150000,500,488,2957,2886,399
3,10,0,001000,150000,500,230,2330,2186,320
3,10,0,001000,150000,500,901,3045,2865,440
3,10,0,001000,150000,500,144,2694,2577,385
3,10,0,001000,150000,500,378,2935,2807,279
3,10,0,001000,150000,500,654,2616,2521,368
3,10,0,001000,150000,500,29,2631,2517,325
3,10,0,001000,150000,500,810,2555,2484,283
3,10,0,001000,150000,500,472,2567,2509,336
3,10,0,001000,150000,500,193,2764,2606,379
3,10,0,001000,150000,500,556,2792,2739,413
3,10,0,001000,150000,500,721,2665,2602,379
3,10,0,001000,150000,500,88,2872,2709,437
3,10,0,001000,150000,500,402,2583,2481,380
3,10,0,001000,150000,500,615,2561,2433,321
3,10,0,001000,150000,500,777,2807,2710,316
3,10,0,001000,150000,500,5,2576,2513,278
3,10,0,001000,150000,500,268,2668,2614,317
3,10,0,001000,150000,500,349,2862,2860,355
3,10,0,001000,150000,500,920,2529,2445,389
3,10,0,001000,150000,500,431,2620,2568,436
3,10,0,001000,150000,500,602,2872,2792,433
3,10,0,001000,150000,500,118,2500,2450,376
3,10,0,001000,150000,500,745,2845,2728,420
3,10,0,001000,150000,500,864,2478,2398,369
3,10,0,001000,150000,500,52,2617,2600,293
3,10,0,001000,150000,500,390,2793,2754,326
3,10,0,001000,150000,500,281,2386,2283,273
3,10,0,001000,150000,500,973,2440,2328,266
3,10,0,001000,150000,500,167,2877,2793,323
3,10,0,001000,150000,500,459,2592,2497,322
3,10,0,001000,150000,500,630,2720,2663,311
3,10,0,001000,150000,500,204,2742,2665,321
3,10,0,001000,150000,500,851,2538,2483,336
3,10,0,001000,150000,500,76,2800,2689,309
3,10,0,001000,150000,500,538,2579,2498,275
3,10,0,001000,150000,500,692,2971,2835,298
3,10,0,001000,150000,500,314,2559,2559,269
3,10,0,001000,150000,500,947,2492,2415,306
3,10,0,001000,150000,500,183,2454,2392,297
3,10,0,001000,150000,500,420,2756,2674,291
3,10,0,001000,150000,500,559,2756,2649,275
3,10,0,001000,150000,500,601,2861,2785,261
3,10,0,001000,150000,500,732,2598,2500,268
3,10,0,001000,150000,500,11,2769,2692,268
3,10,0,001000,150000,500,298,2516,2414,275
3,10,0,001000,150000,500,467,3045,2998,310
3,10,0,001000,150000,500,825,2572,2468,323
3,10,0,001000,150000,500,940,2615,2583,341
3,10,0,001000,150000,500,156,2579,2562,269
3,10,0,001000,150000,500,377,2643,2559,291
3,10,0,001000,150000,500,688,2681,2639,421
3,10,0,001000,150000,500,249,2600,2474,348
3,10,0,001000,150000,500,563,2698,2698,291
3,10,0,001000,150000,500,704,3027,3027,308
3,10,0,001000,150000,500,92,2619,2604,325
3,10,0,001000,150000,500,815,2658,2658,283
3,10,0,001000,150000,500,333,2451,2349,281
3,10,0,001000,150000,500,478,2591,2553,316
3,10,0,001000,150000,500,690,2581,2557,306
3,10,0,001000,150000,500,27,2608,2492,257
3,10,0,001000,150000,500,954,2710,2646,267
3,10,0,001000,150000,500,382,2433,2390,393
3,10,0,001000,150000,500,611,2288,2144,370
3,10,0,001000,150000,500,743,2752,2655,311
3,10,0,001000,150000,500,159,2592,2524,347
3,10,0,001000,150000,500,888,2354,2312,316
3,10,0,001000,150000,500,266,3063,2933,345
3,10,0,001000,150000,500,531,2550,2370,330
3,10,0,001000,150000,500,679,2856,2815,303
3,10,0,001000,150000,500,803,2502,2499,288
3,10,0,001000,150000,500,47,2851,2794,279
3,10,0,001000,150000,500,995,2693,2689,283
3,10,0,001000,150000,500,214,2828,2757,282
3,10,0,001000,150000,500,362,3024,2893,337
3,10,0,001000,150000,500,580,3069,2946,379
3,10,0,001000,150000,500,721,2665,2590,427
3,10,0,001000,150000,500,134,2698,2602,384
3,10,0,001000,150000,500,846,2674,2613,408
3,10,0,001000,150000,500,271,2623,2526,382
3,10,0,001000,150000,500,498,2387,2387,413
3,10,0,001000,150000,500,617,2644,2606,311
3,10,0,001000,150000,500,39,2368,2266,368
3,10,0,001000,150000,500,902,2423,2380,305
3,10,0,001000,150000,500,455,3040,2907,296
3,10,0,001000,150000,500,768,2474,2469,271
3,10,0,001000,150000,500,120,2490,2384,268
3,10,0,001000,150000,500,593,2470,2364,266
3,10,0,001000,150000,500,834,2622,2599,276
3,10,0,001000,150000,500,206,2707,2584,276
3,10,0,001000,150000,500,319,2459,2389,267
3,10,0,001000,150000,500,650,2693,2619,394
3,10,0,001000,150000,500,77,2529,2439,343
3,10,0,001000,150000,500,982,2704,2558,363
3,10,0,001000,150000,1000,523,2679,2647,334
3,10,0,001000,150000,1000,87,2667,2645,389
3,10,0,001000,150000,1000,999,2739,2607,386
3,10,0,001000,150000,1000,341,2585,2509,321
3,10,0,001000,150000,1000,712,2935,2821,279
3,10,0,001000,150000,1000,65,2753,2559,269
3,10,0,001000,150000,1000,488,2957,2857,289
3,10,0,001000,150000,1000,230,2330,2247,279
3,10,0,001000,150000,1000,901,3045,2880,277
3,10,0,001000,150000,1000,144,2694,2585,389
3,10,0,001000,150000,1000,378,2935,2863,405
3,10,0,001000,150000,1000,654,2616,2573,353
3,10,0,001000,150000,1000,29,2631,2489,321
3,10,0,001000,150000,1000,810,2555,2538,308
3,10,0,001000,150000,1000,472,2567,2491,283
3,10,0,001000,150000,1000,193,2764,2622,283
3,10,0,001000,150000,1000,556,2792,2714,396
3,10,0,001000,150000,1000,721,2665,2607,429
3,10,0,001000,150000,1000,88,2872,2759,339
3,10,0,001000,150000,1000,402,2583,2520,353
3,10,0,001000,150000,1000,615,2561,2465,350
3,10,0,001000,150000,1000,777,2807,2712,288
3,10,0,001000,150000,1000,5,2576,2535,290
3,10,0,001000,150000,1000,268,2668,2611,293
3,10,0,001000,150000,1000,349,2862,2843,285
3,10,0,001000,150000,1000,920,2529,2444,270
3,10,0,001000,150000,1000,431,2620,2576,317
3,10,0,001000,150000,1000,602,2872,2795,425
3,10,0,001000,150000,1000,118,2500,2428,429
3,10,0,001000,150000,1000,745,2845,2773,294
3,10,0,001000,150000,1000,864,2478,2402,260
3,10,0,001000,150000,1000,52,2617,2617,267
3,10,0,001000,150000,1000,390,2793,2718,322
3,10,0,001000,150000,1000,281,2386,2312,299
3,10,0,001000,150000,1000,973,2440,2346,316
3,10,0,001000,150000,1000,167,2877,2806,375
3,10,0,001000,150000,1000,459,2592,2506,371
3,10,0,001000,150000,1000,630,2720,2720,374
3,10,0,001000,150000,1000,204,2742,2665,285
3,10,0,001000,150000,1000,851,2538,2465,378
3,10,0,001000,150000,1000,76,2800,2679,338
3,10,0,001000,150000,1000,538,2579,2568,424
3,10,0,001000,150000,1000,692,2971,2859,388
3,10,0,001000,150000,1000,314,2559,2531,400
3,10,0,001000,150000,1000,947,2492,2465,358
3,10,0,001000,150000,1000,183,2454,2393,310
3,10,0,001000,150000,1000,420,2756,2698,278
3,10,0,001000,150000,1000,559,2756,2614,296
3,10,0,001000,150000,1000,601,2861,2767,271
3,10,0,001000,150000,1000,732,2598,2522,292
3,10,0,001000,150000,1000,11,2769,2664,340
3,10,0,001000,150000,1000,298,2516,2418,355
3,10,0,001000,150000,1000,467,3045,3001,366
3,10,0,001000,150000,1000,825,2572,2485,272
3,10,0,001000,150000,1000,940,2615,2574,366
3,10,0,001000,150000,1000,156,2579,2548,309
3,10,0,001000,150000,1000,377,2643,2520,322
3,10,0,001000,150000,1000,688,2681,2632,310
3,10,0,001000,150000,1000,249,2600,2511,377
3,10,0,001000,150000,1000,563,2698,2671,324
3,10,0,001000,150000,1000,704,3027,3013,359
3,10,0,001000,150000,1000,92,2619,2578,385
3,10,0,001000,150000,1000,815,2658,2647,340
3,10,0,001000,150000,1000,333,2451,2339,320
3,10,0,001000,150000,1000,478,2591,2554,331
3,10,0,001000,150000,1000,690,2581,2553,361
3,10,0,001000,150000,1000,27,2608,2465,334
3,10,0,001000,150000,1000,954,2710,2628,312
3,10,0,001000,150000,1000,382,2433,2420,303
3,10,0,001000,150000,1000,611,2288,2183,291
3,10,0,001000,150000,1000,743,2752,2687,390
3,10,0,001000,150000,1000,159,2592,2562,333
3,10,0,001000,150000,1000,888,2354,2354,376
3,10,0,001000,150000,1000,266,3063,2891,380
3,10,0,001000,150000,1000,531,2550,2417,379
3,10,0,001000,150000,1000,679,2856,2803,358
3,10,0,001000,150000,1000,803,2502,2476,421
3,10,0,001000,150000,1000,47,2851,2851,352
3,10,0,001000,150000,1000,995,2693,2689,327
3,10,0,001000,150000,1000,214,2828,2734,349
3,10,0,001000,150000,1000,362,3024,2908,338
3,10,0,001000,150000,1000,580,3069,2962,367
3,10,0,001000,150000,1000,721,2665,2587,358
3,10,0,001000,150000,1000,134,2698,2627,397
3,10,0,001000,150000,1000,846,2674,2620,428
3,10,0,001000,150000,1000,271,2623,2566,327
3,10,0,001000,150000,1000,498,2387,2383,377
3,10,0,001000,150000,1000,617,2644,2594,345
3,10,0,001000,150000,1000,39,2368,2313,314
3,10,0,001000,150000,1000,902,2423,2365,298
3,10,0,001000,150000,1000,455,3040,2908,300
3,10,0,001000,150000,1000,768,2474,2456,324
3,10,0,001000,150000,1000,120,2490,2387,357
3,10,0,001000,150000,1000,593,2470,2387,284
3,10,0,001000,150000,1000,834,2622,2617,309
3,10,0,001000,150000,1000,206,2707,2587,378
3,10,0,001000,150000,1000,319,2459,2378,279
3,10,0,001000,150000,1000,650,2693,2609,288
3,10,0,001000,150000,1000,77,2529,2437,295
3,10,0,001000,150000,1000,982,2704,2600,296
3,10,0,001000,150000,5000,523,2679,2642,284
3,10,0,001000,150000,5000,87,2667,2667,281
3,10,0,001000,150000,5000,999,2739,2559,292
3,10,0,001000,150000,5000,341,2585,2434,282
3,10,0,001000,150000,5000,712,2935,2808,306
3,10,0,001000,150000,5000,65,2753,2622,323
3,10,0,001000,150000,5000,488,2957,2913,314
3,10,0,001000,150000,5000,230,2330,2241,323
3,10,0,001000,150000,5000,901,3045,2897,323
3,10,0,001000,150000,5000,144,2694,2627,278
3,10,0,001000,150000,5000,378,2935,2815,269
3,10,0,001000,150000,5000,654,2616,2584,274
3,10,0,001000,150000,5000,29,2631,2522,295
3,10,0,001000,150000,5000,810,2555,2488,271
3,10,0,001000,150000,5000,472,2567,2491,277
3,10,0,001000,150000,5000,193,2764,2601,274
3,10,0,001000,150000,5000,556,2792,2781,301
3,10,0,001000,150000,5000,721,2665,2613,352
3,10,0,001000,150000,5000,88,2872,2748,316
3,10,0,001000,150000,5000,402,2583,2511,303
3,10,0,001000,150000,5000,615,2561,2460,275
3,10,0,001000,150000,5000,777,2807,2746,281
3,10,0,001000,150000,5000,5,2576,2529,305
3,10,0,001000,150000,5000,268,2668,2668,325
3,10,0,001000,150000,5000,349,2862,2847,307
3,10,0,001000,150000,5000,920,2529,2453,283
3,10,0,001000,150000,5000,431,2620,2620,334
3,10,0,001000,150000,5000,602,2872,2798,303
3,10,0,001000,150000,5000,118,2500,2500,264
3,10,0,001000,150000,5000,745,2845,2768,301
3,10,0,001000,150000,5000,864,2478,2386,280
3,10,0,001000,150000,5000,52,2617,2617,321
3,10,0,001000,150000,5000,390,2793,2793,290
3,10,0,001000,150000,5000,281,2386,2307,272
3,10,0,001000,150000,5000,973,2440,2334,270
3,10,0,001000,150000,5000,167,2877,2802,293
3,10,0,001000,150000,5000,459,2592,2515,371
3,10,0,001000,150000,5000,630,2720,2709,380
3,10,0,001000,150000,5000,204,2742,2675,384
3,10,0,001000,150000,5000,851,2538,2439,317
3,10,0,001000,150000,5000,76,2800,2746,286
3,10,0,001000,150000,5000,538,2579,2513,274
3,10,0,001000,150000,5000,692,2971,2850,271
3,10,0,001000,150000,5000,314,2559,2546,274
3,10,0,001000,150000,5000,947,2492,2478,272
3,10,0,001000,150000,5000,183,2454,2414,276
3,10,0,001000,150000,5000,420,2756,2730,319
3,10,0,001000,150000,5000,559,2756,2651,286
3,10,0,001000,150000,5000,601,2861,2792,297
3,10,0,001000,150000,5000,732,2598,2516,343
3,10,0,001000,150000,5000,11,2769,2715,294
3,10,0,001000,150000,5000,298,2516,2453,294
3,10,0,001000,150000,5000,467,3045,3035,356
3,10,0,001000,150000,5000,825,2572,2493,286
3,10,0,001000,150000,5000,940,2615,2615,291
3,10,0,001000,150000,5000,156,2579,2564,316
3,10,0,001000,150000,5000,377,2643,2542,342
3,10,0,001000,150000,5000,688,2681,2637,385
3,10,0,001000,150000,5000,249,2600,2480,392
