exp,algoritme,n_centres,n_grups,seed,h_final,temps_ms
4,HC,5,100,11,2709,3001,141
4,SA,5,100,11,2711,8906,256
4,HC,5,100,22,2831,9126,16
4,SA,5,100,22,2823,3063,188
4,HC,5,100,33,2399,0626,22
4,SA,5,100,33,2347,4767,184
4,HC,5,100,44,2524,6456,16
4,SA,5,100,44,2521,3686,183
4,HC,5,100,55,2752,1936,56
4,SA,5,100,55,2713,9923,182
4,HC,5,100,66,2614,1344,59
4,SA,5,100,66,2603,9986,195
4,HC,5,100,77,2440,1373,39
4,SA,5,100,77,2435,6492,180
4,HC,5,100,88,2735,5634,38
4,SA,5,100,88,2716,2236,185
4,HC,5,100,99,2445,7874,54
4,SA,5,100,99,2427,3787,184
4,HC,5,100,110,2722,5977,40
4,SA,5,100,110,2707,7243,186
4,HC,10,200,11,4470,7931,804
4,SA,10,200,11,4465,6976,333
4,HC,10,200,22,5277,5481,365
4,SA,10,200,22,5231,6584,336
4,HC,10,200,33,4270,1806,909
4,SA,10,200,33,4321,4722,331
4,HC,10,200,44,4368,9871,828
4,SA,10,200,44,4343,9097,319
4,HC,10,200,55,4512,8366,853
4,SA,10,200,55,4550,3597,338
4,HC,10,200,66,4675,6921,786
4,SA,10,200,66,4686,1303,341
4,HC,10,200,77,4742,2470,719
4,SA,10,200,77,4786,0817,336
4,HC,10,200,88,4519,6576,716
4,SA,10,200,88,4487,2320,329
4,HC,10,200,99,4703,3000,850
4,SA,10,200,99,4712,7294,340
4,HC,10,200,110,4787,3804,852
4,SA,10,200,110,4827,7781,340
4,HC,15,300,11,6493,5388,5542
4,SA,15,300,11,6613,4755,481
4,HC,15,300,22,6925,4945,4788
4,SA,15,300,22,7039,7888,493
4,HC,15,300,33,6270,2255,6184
4,SA,15,300,33,6346,1199,484
4,HC,15,300,44,6664,8207,5274
4,SA,15,300,44,6723,4027,487
4,HC,15,300,55,6159,2167,4429
4,SA,15,300,55,6245,1358,488
4,HC,15,300,66,6760,9839,5907
4,SA,15,300,66,6818,2870,509
4,HC,15,300,77,6709,6692,5286
4,SA,15,300,77,6779,2348,499
4,HC,15,300,88,6373,3234,4363
4,SA,15,300,88,6424,1108,484
4,HC,15,300,99,6542,6974,7793
4,SA,15,300,99,6663,5099,479
4,HC,15,300,110,6875,3843,3371
4,SA,15,300,110,6943,1526,497
4,HC,20,400,11,8219,5856,16950
4,SA,20,400,11,8377,6963,668
4,HC,20,400,22,8715,0634,14541
4,SA,20,400,22,8895,2745,676
4,HC,20,400,33,8451,0491,16016
4,SA,20,400,33,8522,2922,663
4,HC,20,400,44,8472,0105,20616
4,SA,20,400,44,8648,0801,656
4,HC,20,400,55,7844,0210,16741
4,SA,20,400,55,7967,2462,648
4,HC,20,400,66,8729,7316,14678
4,SA,20,400,66,8854,4415,780
4,HC,20,400,77,8590,6483,21091
4,SA,20,400,77,8683,1391,650
4,HC,20,400,88,8476,1304,17621
4,SA,20,400,88,8625,4421,678
4,HC,20,400,99,8233,6485,26260
4,SA,20,400,99,8420,0421,679
4,HC,20,400,110,8700,5072,17630
4,SA,20,400,110,8896,6560,675
4,HC,25,500,11,10067,0442,63716
4,SA,25,500,11,10325,7058,824
4,HC,25,500,22,10651,8310,54667
4,SA,25,500,22,10855,9997,956
4,HC,25,500,33,10272,3302,74921
4,SA,25,500,33,10568,6081,811
4,HC,25,500,44,10338,4994,58769
4,SA,25,500,44,10583,4828,834
4,HC,25,500,55,10023,2999,66436
4,SA,25,500,55,10317,3815,895
4,HC,25,500,66,10521,2561,52467
4,SA,25,500,66,10711,0235,924
4,HC,25,500,77,10444,1241,61984
4,SA,25,500,77,10681,2093,826
4,HC,25,500,88,10257,6979,47821
4,SA,25,500,88,10462,8374,891
4,HC,25,500,99,10281,7174,64179
4,SA,25,500,99,10571,8808,866
4,HC,25,500,110,10638,7599,48970
4,SA,25,500,110,10827,7072,871
