exp,algoritme,w,seed,h1_final,h2_final,h_combinada,temps_ms
7,HC,0,11,2709.3001,17729.3907,2709.3001,138
7,SA,0,11,2679.2042,16798.9774,2679.2042,249
7,HC,0,22,2831.9126,23113.6338,2831.9126,16
7,SA,0,22,2846.9709,23266.4048,2846.9709,187
7,HC,0,33,2399.0626,12620.3671,2399.0626,23
7,SA,0,33,2375.3903,11517.0365,2375.3903,195
7,HC,0,44,2524.6456,15645.2344,2524.6456,15
7,SA,0,44,2483.3990,16136.9566,2483.3990,192
7,HC,0,55,2752.1936,15263.9727,2752.1936,62
7,SA,0,55,2746.3732,13967.1436,2746.3732,191
7,HC,0,66,2614.1344,17537.6980,2614.1344,63
7,SA,0,66,2585.4307,16459.1895,2585.4307,186
7,HC,0,77,2440.1373,12021.4563,2440.1373,35
7,SA,0,77,2436.6137,13883.0082,2436.6137,188
7,HC,0,88,2735.5634,16556.0791,2735.5634,38
7,SA,0,88,2717.2646,17120.4305,2717.2646,191
7,HC,0,99,2445.7874,13443.1871,2445.7874,67
7,SA,0,99,2427.9885,12237.2922,2427.9885,179
7,HC,0,110,2722.5977,11909.5143,2722.5977,45
7,SA,0,110,2712.5499,13284.7691,2712.5499,186
7,HC,1,11,2942.5773,13680.4463,16623.0236,259
7,SA,1,11,2884.9453,7906.9502,10791.8955,553
7,HC,1,22,3242.3742,8858.4762,12100.8504,462
7,SA,1,22,2995.7109,7352.3503,10348.0612,675
7,HC,1,33,2429.6904,9471.5965,11901.2869,238
7,SA,1,33,2447.7289,8505.3690,10953.0979,650
7,HC,1,44,2740.7835,11009.4115,13750.1949,265
7,SA,1,44,2618.1319,8057.2164,10675.3484,493
7,HC,1,55,2935.2253,8988.5345,11923.7598,438
7,SA,1,55,2824.5362,7684.3291,10508.8653,609
7,HC,1,66,2899.4813,9052.2163,11951.6975,443
7,SA,1,66,2725.5788,6715.7384,9441.3172,549
7,HC,1,77,2569.6745,10176.8498,12746.5243,316
7,SA,1,77,2586.6643,7578.4446,10165.1089,496
7,HC,1,88,2877.2722,13653.4527,16530.7249,271
7,SA,1,88,2836.6382,7135.0432,9971.6815,560
7,HC,1,99,2506.4852,10297.3675,12803.8528,278
7,SA,1,99,2485.5133,7682.2253,10167.7386,642
7,HC,1,110,2857.0702,10407.0340,13264.1042,142
7,SA,1,110,2815.0795,9430.4035,12245.4830,527
7,HC,2,11,2947.0624,13217.4083,29381.8790,480
7,SA,2,11,2925.7036,7381.1531,17688.0097,648
7,HC,2,22,3290.6636,7960.4581,19211.5798,441
7,SA,2,22,2951.8873,6930.8548,16813.5969,606
7,HC,2,33,2437.6379,9599.0556,21635.7492,271
7,SA,2,33,2480.2613,7316.3184,17112.8980,564
